col,dat,Froleyks-2,TakehideSoh,YuyaYamada-N,haz-2,haz-single-2,junkawahara,telematik-tuhh,tigrisg,toda5603
benchmark/color04/3-FullIns_4.col,benchmark/color04/3-FullIns_4_01.dat,2,2,22,6,8,N.A.,2,2,2
benchmark/color04/3-FullIns_4.col,benchmark/color04/3-FullIns_4_02.dat,3,3,44,139,172,N.A.,3,3,4
benchmark/color04/3-FullIns_5.col,benchmark/color04/3-FullIns_5_01.dat,1,1,23,3,3,N.A.,1,1,1
benchmark/color04/3-FullIns_5.col,benchmark/color04/3-FullIns_5_02.dat,8,5,36,46,49,N.A.,5,5,725
benchmark/color04/3-Insertions_3.col,benchmark/color04/3-Insertions_3_01.dat,4,4,7,7,7,4,4,4,4
benchmark/color04/3-Insertions_3.col,benchmark/color04/3-Insertions_3_02.dat,2,2,195,392,392,2,2,2,2
benchmark/color04/3-Insertions_4.col,benchmark/color04/3-Insertions_4_01.dat,2,2,9,9,9,N.A.,2,2,2
benchmark/color04/3-Insertions_4.col,benchmark/color04/3-Insertions_4_02.dat,6,5,62,246,247,N.A.,5,5,34
benchmark/color04/3-Insertions_5.col,benchmark/color04/3-Insertions_5_01.dat,1,1,10,1,1,N.A.,1,1,1
benchmark/color04/3-Insertions_5.col,benchmark/color04/3-Insertions_5_02.dat,1,1,83,43,45,N.A.,1,1,1
benchmark/color04/4-FullIns_3.col,benchmark/color04/4-FullIns_3_01.dat,1,1,1,1,1,1,1,1,1
benchmark/color04/4-FullIns_3.col,benchmark/color04/4-FullIns_3_02.dat,1,1,110,111,111,1,1,1,1
benchmark/color04/4-FullIns_4.col,benchmark/color04/4-FullIns_4_01.dat,1,1,1,1,1,N.A.,1,1,1
benchmark/color04/4-FullIns_4.col,benchmark/color04/4-FullIns_4_02.dat,2,2,33,49,55,N.A.,2,2,198
benchmark/color04/4-FullIns_5.col,benchmark/color04/4-FullIns_5_01.dat,1,1,27,1,UNK (11),N.A.,1,1,1
benchmark/color04/4-FullIns_5.col,benchmark/color04/4-FullIns_5_02.dat,1,1,86,1,UNK (11),N.A.,1,1,1
benchmark/color04/4-Insertions_3.col,benchmark/color04/4-Insertions_3_01.dat,1,1,72,71,74,1,1,1,29
benchmark/color04/4-Insertions_3.col,benchmark/color04/4-Insertions_3_02.dat,3,3,70,83,83,3,3,3,3
benchmark/color04/4-Insertions_4.col,benchmark/color04/4-Insertions_4_01.dat,1,1,30,57,64,N.A.,1,1,209
benchmark/color04/4-Insertions_4.col,benchmark/color04/4-Insertions_4_02.dat,1,1,31,58,65,N.A.,1,1,1
benchmark/color04/5-FullIns_3.col,benchmark/color04/5-FullIns_3_01.dat,1,1,35,33,33,N.A.,1,1,1
benchmark/color04/5-FullIns_3.col,benchmark/color04/5-FullIns_3_02.dat,6,5,59,468,470,N.A.,5,5,6
benchmark/color04/5-FullIns_4.col,benchmark/color04/5-FullIns_4_01.dat,1,1,30,10,10,N.A.,1,1,1
benchmark/color04/5-FullIns_4.col,benchmark/color04/5-FullIns_4_02.dat,8,6,41,98,113,N.A.,6,6,490
benchmark/color04/DSJC1000.1.col,benchmark/color04/DSJC1000.1_01.dat,1,1,1,UNK (11),1,N.A.,1,1,1
benchmark/color04/DSJC1000.1.col,benchmark/color04/DSJC1000.1_02.dat,67,3,26,20,20,N.A.,3,3,58
benchmark/color04/DSJC1000.5.col,benchmark/color04/DSJC1000.5_01.dat,32,6,23,23,23,N.A.,6,6,11
benchmark/color04/DSJC1000.5.col,benchmark/color04/DSJC1000.5_02.dat,27,2,18,27,27,N.A.,2,2,2
benchmark/color04/DSJC1000.9.col,benchmark/color04/DSJC1000.9_01.dat,6,2,6,N.A.,6,N.A.,2,2,2
benchmark/color04/DSJC1000.9.col,benchmark/color04/DSJC1000.9_02.dat,8,2,8,8,8,N.A.,2,2,2
benchmark/color04/DSJC125.1.col,benchmark/color04/DSJC125.1_01.dat,5,3,5,5,5,N.A.,3,3,3
benchmark/color04/DSJC125.1.col,benchmark/color04/DSJC125.1_02.dat,129,5,59,215,215,N.A.,5,5,10
benchmark/color04/DSJC125.5.col,benchmark/color04/DSJC125.5_01.dat,34,4,34,21,21,4,4,4,4
benchmark/color04/DSJC125.5.col,benchmark/color04/DSJC125.5_02.dat,33,2,33,32,32,2,2,2,2
benchmark/color04/DSJC125.9.col,benchmark/color04/DSJC125.9_01.dat,1,1,1,UNK (11),1,1,1,1,1
benchmark/color04/DSJC125.9.col,benchmark/color04/DSJC125.9_02.dat,122,8,84,179,179,8,8,8,8
benchmark/color04/DSJC250.1.col,benchmark/color04/DSJC250.1_01.dat,1,1,1,UNK (11),1,N.A.,1,1,1
benchmark/color04/DSJC250.1.col,benchmark/color04/DSJC250.1_02.dat,81,1,27,136,134,N.A.,1,1,14
benchmark/color04/DSJC250.5.col,benchmark/color04/DSJC250.5_01.dat,13,1,13,12,12,N.A.,1,1,1
benchmark/color04/DSJC250.5.col,benchmark/color04/DSJC250.5_02.dat,45,5,30,37,37,N.A.,5,5,N.A.
benchmark/color04/DSJC250.9.col,benchmark/color04/DSJC250.9_01.dat,15,5,15,15,15,5,5,5,5
benchmark/color04/DSJC250.9.col,benchmark/color04/DSJC250.9_02.dat,15,5,15,15,15,5,5,5,5
benchmark/color04/DSJC500.1.col,benchmark/color04/DSJC500.1_01.dat,9,3,9,9,9,N.A.,3,3,3
benchmark/color04/DSJC500.1.col,benchmark/color04/DSJC500.1_02.dat,86,6,35,78,77,N.A.,6,6,18
benchmark/color04/DSJC500.5.col,benchmark/color04/DSJC500.5_01.dat,15,1,15,15,15,N.A.,1,1,1
benchmark/color04/DSJC500.5.col,benchmark/color04/DSJC500.5_02.dat,37,1,25,36,36,N.A.,1,1,1
benchmark/color04/DSJC500.9.col,benchmark/color04/DSJC500.9_01.dat,26,6,26,24,24,N.A.,6,6,6
benchmark/color04/DSJC500.9.col,benchmark/color04/DSJC500.9_02.dat,27,9,27,22,22,N.A.,9,9,9
benchmark/color04/DSJR500.1.col,benchmark/color04/DSJR500.1_01.dat,87,8,23,54,54,N.A.,8,8,8
benchmark/color04/DSJR500.1.col,benchmark/color04/DSJR500.1_02.dat,68,13,41,N.A.,19,N.A.,13,13,179
benchmark/color04/DSJR500.1c.col,benchmark/color04/DSJR500.1c_01.dat,1,1,1,UNK (11),1,1,1,1,1
benchmark/color04/DSJR500.1c.col,benchmark/color04/DSJR500.1c_02.dat,51,4,51,42,42,4,4,4,4
benchmark/color04/DSJR500.5.col,benchmark/color04/DSJR500.5_01.dat,15,2,13,15,15,N.A.,2,2,2
benchmark/color04/DSJR500.5.col,benchmark/color04/DSJR500.5_02.dat,165,6,94,198,198,N.A.,6,6,7
benchmark/color04/anna.col,benchmark/color04/anna_01.dat,5,5,29,172,206,N.A.,5,5,5
benchmark/color04/anna.col,benchmark/color04/anna_02.dat,14,13,79,251,291,N.A.,13,13,53
benchmark/color04/ash331GPIA.col,benchmark/color04/ash331GPIA_01.dat,1,1,30,22,22,N.A.,1,1,123
benchmark/color04/ash331GPIA.col,benchmark/color04/ash331GPIA_02.dat,1,1,31,23,23,N.A.,1,1,1
benchmark/color04/ash608GPIA.col,benchmark/color04/ash608GPIA_01.dat,1,1,1,1,1,N.A.,1,1,1
benchmark/color04/ash608GPIA.col,benchmark/color04/ash608GPIA_02.dat,1,1,26,20,24,N.A.,1,1,86
benchmark/color04/ash958GPIA.col,benchmark/color04/ash958GPIA_01.dat,1,1,23,18,24,N.A.,1,1,1
benchmark/color04/ash958GPIA.col,benchmark/color04/ash958GPIA_02.dat,1,1,21,7,8,N.A.,1,1,65
benchmark/color04/david.col,benchmark/color04/david_01.dat,9,6,37,394,462,6,6,6,6
benchmark/color04/david.col,benchmark/color04/david_02.dat,10,9,209,464,546,9,9,9,9
benchmark/color04/games120.col,benchmark/color04/games120_01.dat,7,7,30,595,671,N.A.,7,7,7
benchmark/color04/games120.col,benchmark/color04/games120_02.dat,23,13,102,576,643,N.A.,13,13,24
benchmark/color04/huck.col,benchmark/color04/huck_01.dat,11,7,191,742,900,7,7,7,7
benchmark/color04/huck.col,benchmark/color04/huck_02.dat,15,7,255,1059,1177,7,7,7,7
benchmark/color04/latin_square_10.col,benchmark/color04/latin_square_10_01.dat,1,1,9,9,9,N.A.,1,1,4
benchmark/color04/latin_square_10.col,benchmark/color04/latin_square_10_02.dat,1,1,9,9,9,N.A.,1,1,1
benchmark/color04/le450_15a.col,benchmark/color04/le450_15a_01.dat,3,3,17,7,7,N.A.,3,3,3
benchmark/color04/le450_15a.col,benchmark/color04/le450_15a_02.dat,4,3,29,65,77,N.A.,3,3,45
benchmark/color04/le450_15b.col,benchmark/color04/le450_15b_01.dat,2,2,14,6,6,N.A.,2,2,2
benchmark/color04/le450_15b.col,benchmark/color04/le450_15b_02.dat,5,5,34,72,80,N.A.,5,5,49
benchmark/color04/le450_15c.col,benchmark/color04/le450_15c_01.dat,2,2,18,10,12,N.A.,2,2,2
benchmark/color04/le450_15c.col,benchmark/color04/le450_15c_02.dat,3,3,38,46,72,N.A.,3,3,4
benchmark/color04/le450_15d.col,benchmark/color04/le450_15d_01.dat,2,2,24,49,51,N.A.,2,2,2
benchmark/color04/le450_15d.col,benchmark/color04/le450_15d_02.dat,7,6,36,40,57,N.A.,6,6,9
benchmark/color04/le450_25a.col,benchmark/color04/le450_25a_01.dat,4,3,25,18,18,N.A.,3,3,3
benchmark/color04/le450_25a.col,benchmark/color04/le450_25a_02.dat,12,12,28,12,UNK (11),N.A.,12,12,17
benchmark/color04/le450_25b.col,benchmark/color04/le450_25b_01.dat,6,6,31,56,67,N.A.,6,6,6
benchmark/color04/le450_25b.col,benchmark/color04/le450_25b_02.dat,12,10,70,10,UNK (11),N.A.,10,10,12
benchmark/color04/le450_25c.col,benchmark/color04/le450_25c_01.dat,3,3,15,9,9,N.A.,3,3,3
benchmark/color04/le450_25c.col,benchmark/color04/le450_25c_02.dat,5,5,36,72,82,N.A.,5,5,5
benchmark/color04/le450_25d.col,benchmark/color04/le450_25d_01.dat,3,3,9,9,9,N.A.,3,3,3
benchmark/color04/le450_25d.col,benchmark/color04/le450_25d_02.dat,3,2,48,15,15,N.A.,2,2,2
benchmark/color04/le450_5a.col,benchmark/color04/le450_5a_01.dat,1,1,36,59,66,N.A.,1,1,62
benchmark/color04/le450_5a.col,benchmark/color04/le450_5a_02.dat,1,1,32,74,76,N.A.,1,1,36
benchmark/color04/le450_5b.col,benchmark/color04/le450_5b_01.dat,1,1,59,57,64,N.A.,1,1,1
benchmark/color04/le450_5b.col,benchmark/color04/le450_5b_02.dat,2,2,27,63,73,N.A.,2,2,2
benchmark/color04/le450_5c.col,benchmark/color04/le450_5c_01.dat,1,1,59,61,67,N.A.,1,1,1
benchmark/color04/le450_5c.col,benchmark/color04/le450_5c_02.dat,1,1,28,57,65,N.A.,1,1,5
benchmark/color04/le450_5d.col,benchmark/color04/le450_5d_01.dat,1,1,27,58,66,N.A.,1,1,1
benchmark/color04/le450_5d.col,benchmark/color04/le450_5d_02.dat,1,1,71,58,65,N.A.,1,1,75
benchmark/color04/miles1000.col,benchmark/color04/miles1000_01.dat,3,3,138,730,813,N.A.,3,3,3
benchmark/color04/miles1000.col,benchmark/color04/miles1000_02.dat,5,5,61,1038,1130,N.A.,5,5,5
benchmark/color04/miles1500.col,benchmark/color04/miles1500_01.dat,2,2,11,11,11,N.A.,2,2,2
benchmark/color04/miles1500.col,benchmark/color04/miles1500_02.dat,3,3,271,1048,1264,N.A.,3,3,3
benchmark/color04/miles500.col,benchmark/color04/miles500_01.dat,15,7,35,645,745,N.A.,7,7,7
benchmark/color04/miles500.col,benchmark/color04/miles500_02.dat,19,10,178,677,783,N.A.,10,10,11
benchmark/color04/miles750.col,benchmark/color04/miles750_01.dat,4,4,60,666,801,N.A.,4,4,4
benchmark/color04/miles750.col,benchmark/color04/miles750_02.dat,6,6,38,724,836,N.A.,6,6,6
benchmark/color04/mug100_1.col,benchmark/color04/mug100_1_01.dat,12,11,96,778,884,11,11,11,11
benchmark/color04/mug100_1.col,benchmark/color04/mug100_1_02.dat,24,UNK (11),149,907,1047,N.A.,18,18,18
benchmark/color04/mug100_25.col,benchmark/color04/mug100_25_01.dat,15,15,102,797,897,15,15,15,15
benchmark/color04/mug100_25.col,benchmark/color04/mug100_25_02.dat,27,UNK (11),155,848,987,N.A.,21,21,23
benchmark/color04/mug88_1.col,benchmark/color04/mug88_1_01.dat,11,9,108,868,991,9,9,9,9
benchmark/color04/mug88_1.col,benchmark/color04/mug88_1_02.dat,28,UNK (11),175,1248,1330,N.A.,20,20,24
benchmark/color04/mug88_25.col,benchmark/color04/mug88_25_01.dat,12,7,111,907,998,7,7,7,7
benchmark/color04/mug88_25.col,benchmark/color04/mug88_25_02.dat,30,UNK (11),171,835,977,19,19,19,20
benchmark/color04/myciel3.col,benchmark/color04/myciel3_01.dat,2,2,14,14,14,2,2,2,2
benchmark/color04/myciel3.col,benchmark/color04/myciel3_02.dat,3,3,14,14,14,3,3,3,3
benchmark/color04/myciel4.col,benchmark/color04/myciel4_01.dat,1,1,10,10,10,1,1,1,2
benchmark/color04/myciel4.col,benchmark/color04/myciel4_02.dat,1,1,10,10,10,1,1,1,1
benchmark/color04/myciel5.col,benchmark/color04/myciel5_01.dat,1,1,22,22,22,1,1,1,8
benchmark/color04/myciel5.col,benchmark/color04/myciel5_02.dat,1,1,22,22,22,1,1,1,1
benchmark/color04/myciel6.col,benchmark/color04/myciel6_01.dat,1,1,46,46,46,1,1,1,7
benchmark/color04/myciel6.col,benchmark/color04/myciel6_02.dat,1,1,46,46,46,1,1,1,1
benchmark/color04/myciel7.col,benchmark/color04/myciel7_01.dat,1,1,94,94,94,N.A.,1,1,3
benchmark/color04/myciel7.col,benchmark/color04/myciel7_02.dat,1,1,94,94,94,N.A.,1,1,1
benchmark/color04/qg.order100.col,benchmark/color04/qg.order100_01.dat,N.A.,UNK (11),N.A.,UNK (11),UNK (11),N.A.,97,97,N.A.
benchmark/color04/qg.order100.col,benchmark/color04/qg.order100_02.dat,N.A.,UNK (11),N.A.,UNK (11),UNK (11),N.A.,98,98,N.A.
benchmark/color04/qg.order30.col,benchmark/color04/qg.order30_01.dat,N.A.,UNK (11),67,UNK (11),UNK (11),N.A.,30,30,30
benchmark/color04/qg.order30.col,benchmark/color04/qg.order30_02.dat,N.A.,UNK (11),62,UNK (11),UNK (11),N.A.,29,29,29
benchmark/color04/qg.order40.col,benchmark/color04/qg.order40_01.dat,N.A.,UNK (11),N.A.,UNK (11),UNK (11),N.A.,40,40,N.A.
benchmark/color04/qg.order40.col,benchmark/color04/qg.order40_02.dat,N.A.,UNK (11),N.A.,UNK (11),UNK (11),N.A.,39,39,40
benchmark/color04/qg.order60.col,benchmark/color04/qg.order60_01.dat,N.A.,UNK (11),N.A.,UNK (11),UNK (11),N.A.,59,59,59
benchmark/color04/qg.order60.col,benchmark/color04/qg.order60_02.dat,N.A.,UNK (11),N.A.,UNK (11),UNK (11),N.A.,58,58,N.A.
benchmark/color04/queen10_10.col,benchmark/color04/queen10_10_01.dat,14,8,34,547,643,8,8,8,8
benchmark/color04/queen10_10.col,benchmark/color04/queen10_10_02.dat,13,11,38,517,518,11,11,11,14
benchmark/color04/queen11_11.col,benchmark/color04/queen11_11_01.dat,10,8,30,68,90,N.A.,8,8,9
benchmark/color04/queen11_11.col,benchmark/color04/queen11_11_02.dat,13,8,34,67,89,N.A.,8,9,10
benchmark/color04/queen12_12.col,benchmark/color04/queen12_12_01.dat,8,6,30,14,14,N.A.,6,6,6
benchmark/color04/queen12_12.col,benchmark/color04/queen12_12_02.dat,10,9,46,14,15,N.A.,9,9,9
benchmark/color04/queen13_13.col,benchmark/color04/queen13_13_01.dat,20,12,23,13,13,N.A.,12,12,12
benchmark/color04/queen13_13.col,benchmark/color04/queen13_13_02.dat,4,4,47,12,13,N.A.,4,4,7
benchmark/color04/queen14_14.col,benchmark/color04/queen14_14_01.dat,9,9,37,11,12,N.A.,9,9,9
benchmark/color04/queen14_14.col,benchmark/color04/queen14_14_02.dat,13,8,27,11,11,N.A.,8,8,12
benchmark/color04/queen15_15.col,benchmark/color04/queen15_15_01.dat,5,5,33,11,11,N.A.,5,5,5
benchmark/color04/queen15_15.col,benchmark/color04/queen15_15_02.dat,7,4,36,10,11,N.A.,4,4,4
benchmark/color04/queen16_16.col,benchmark/color04/queen16_16_01.dat,5,5,36,10,10,N.A.,5,5,9
benchmark/color04/queen16_16.col,benchmark/color04/queen16_16_02.dat,7,7,38,9,10,N.A.,7,7,7
benchmark/color04/queen5_5.col,benchmark/color04/queen5_5_01.dat,7,7,15,15,15,7,7,7,7
benchmark/color04/queen5_5.col,benchmark/color04/queen5_5_02.dat,7,7,15,15,15,7,7,7,8
benchmark/color04/queen6_6.col,benchmark/color04/queen6_6_01.dat,8,8,100,151,152,8,8,8,8
benchmark/color04/queen6_6.col,benchmark/color04/queen6_6_02.dat,14,9,98,128,128,9,9,9,9
benchmark/color04/queen7_7.col,benchmark/color04/queen7_7_01.dat,19,11,71,83,83,11,11,12,12
benchmark/color04/queen7_7.col,benchmark/color04/queen7_7_02.dat,8,8,112,61,62,8,8,8,9
benchmark/color04/queen8_12.col,benchmark/color04/queen8_12_01.dat,22,10,49,789,938,10,10,10,10
benchmark/color04/queen8_12.col,benchmark/color04/queen8_12_02.dat,8,6,258,1013,1235,6,6,6,8
benchmark/color04/queen8_8.col,benchmark/color04/queen8_8_01.dat,15,9,49,987,988,9,9,9,9
benchmark/color04/queen8_8.col,benchmark/color04/queen8_8_02.dat,9,9,49,338,369,9,9,9,9
benchmark/color04/queen9_9.col,benchmark/color04/queen9_9_01.dat,7,7,43,814,967,7,7,7,7
benchmark/color04/queen9_9.col,benchmark/color04/queen9_9_02.dat,5,5,39,792,937,5,5,5,5
benchmark/color04/school1.col,benchmark/color04/school1_01.dat,4,4,26,15,25,N.A.,4,4,4
benchmark/color04/school1.col,benchmark/color04/school1_02.dat,17,11,35,142,167,N.A.,11,11,39
benchmark/color04/school1_nsh.col,benchmark/color04/school1_nsh_01.dat,4,4,30,139,154,N.A.,4,4,4
benchmark/color04/school1_nsh.col,benchmark/color04/school1_nsh_02.dat,15,8,31,220,260,N.A.,8,8,34
benchmark/color04/wap01a.col,benchmark/color04/wap01a_01.dat,25,UNK (11),54,22,UNK (11),N.A.,22,22,N.A.
benchmark/color04/wap01a.col,benchmark/color04/wap01a_02.dat,255,UNK (11),N.A.,76,UNK (11),N.A.,76,N.A.,N.A.
benchmark/color04/wap02a.col,benchmark/color04/wap02a_01.dat,72,UNK (11),N.A.,25,UNK (11),N.A.,25,25,25
benchmark/color04/wap02a.col,benchmark/color04/wap02a_02.dat,298,UNK (11),N.A.,97,UNK (11),N.A.,97,N.A.,411
benchmark/color04/wap03a.col,benchmark/color04/wap03a_01.dat,22,10,28,10,UNK (11),N.A.,10,10,10
benchmark/color04/wap03a.col,benchmark/color04/wap03a_02.dat,222,UNK (11),104,96,UNK (11),N.A.,96,N.A.,269
benchmark/color04/wap04a.col,benchmark/color04/wap04a_01.dat,50,UNK (11),37,21,UNK (11),N.A.,21,21,21
benchmark/color04/wap04a.col,benchmark/color04/wap04a_02.dat,299,UNK (11),N.A.,112,UNK (11),N.A.,112,N.A.,1972
benchmark/color04/wap05a.col,benchmark/color04/wap05a_01.dat,30,16,48,96,127,N.A.,16,16,16
benchmark/color04/wap05a.col,benchmark/color04/wap05a_02.dat,30,UNK (11),51,26,UNK (11),N.A.,26,N.A.,39
benchmark/color04/wap06a.col,benchmark/color04/wap06a_01.dat,32,17,46,17,UNK (11),N.A.,17,17,N.A.
benchmark/color04/wap06a.col,benchmark/color04/wap06a_02.dat,93,UNK (11),57,36,UNK (11),N.A.,36,N.A.,172
benchmark/color04/wap07a.col,benchmark/color04/wap07a_01.dat,9,9,50,9,UNK (11),N.A.,9,9,9
benchmark/color04/wap07a.col,benchmark/color04/wap07a_02.dat,51,UNK (11),36,36,UNK (11),N.A.,36,N.A.,40
benchmark/color04/wap08a.col,benchmark/color04/wap08a_01.dat,26,13,36,13,UNK (11),N.A.,13,13,13
benchmark/color04/wap08a.col,benchmark/color04/wap08a_02.dat,73,UNK (11),64,43,UNK (11),N.A.,43,N.A.,328
benchmark/color04/will199GPIA.col,benchmark/color04/will199GPIA_01.dat,1,1,1,1,1,N.A.,1,1,1
benchmark/color04/will199GPIA.col,benchmark/color04/will199GPIA_02.dat,3,3,35,46,52,N.A.,3,3,180
benchmark/grid/grid004x004.col,benchmark/grid/grid004x004_01.dat,NO,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid004x004.col,benchmark/grid/grid004x004_02.dat,NO,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid004x004.col,benchmark/grid/grid004x004_03.dat,7,7,113,113,113,7,7,7,7
benchmark/grid/grid004x004.col,benchmark/grid/grid004x004_04.dat,8,8,112,111,111,8,8,8,8
benchmark/grid/grid004x004.col,benchmark/grid/grid004x004_05.dat,NO,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid010x010.col,benchmark/grid/grid010x010_01_6141.dat,NO,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid010x010.col,benchmark/grid/grid010x010_02_0495.dat,NO,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid010x010.col,benchmark/grid/grid010x010_03_6844.dat,NO,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid010x010.col,benchmark/grid/grid010x010_04_4957.dat,NO,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid020x020.col,benchmark/grid/grid020x020_01_9275.dat,N.A.,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid020x020.col,benchmark/grid/grid020x020_02_7550.dat,NO,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid020x020.col,benchmark/grid/grid020x020_03_3902.dat,N.A.,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid020x020.col,benchmark/grid/grid020x020_04_3283.dat,NO,UNK (11),N.A.,NO,UNK (11),NO,NO,NO,N.A.
benchmark/grid/grid030x030.col,benchmark/grid/grid030x030_01_6931.dat,NO,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid030x030.col,benchmark/grid/grid030x030_02_7112.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid030x030.col,benchmark/grid/grid030x030_03_4248.dat,NO,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid030x030.col,benchmark/grid/grid030x030_04_2988.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid040x040.col,benchmark/grid/grid040x040_01_6703.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid040x040.col,benchmark/grid/grid040x040_02_3552.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid040x040.col,benchmark/grid/grid040x040_03_0746.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid040x040.col,benchmark/grid/grid040x040_04_3680.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,UNK (11),N.A.
benchmark/grid/grid050x050.col,benchmark/grid/grid050x050_01_8271.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid050x050.col,benchmark/grid/grid050x050_02_8314.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid050x050.col,benchmark/grid/grid050x050_03_4298.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid050x050.col,benchmark/grid/grid050x050_04_8232.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
benchmark/grid/grid060x060.col,benchmark/grid/grid060x060_01_5912.dat,N.A.,UNK (11),N.A.,NO,UNK (11),N.A.,NO,NO,N.A.
