c Running for 10 seconds: python3 /SOLVER/mip/check-unsolvability.py /BENCHMARKS/benchmark/sp/sp004.col /BENCHMARKS/benchmark/sp/sp004_01.dat
a 10 18 25 3 33 39 40 47
a 10 18 25 3 32 39 40 47
a 10 18 25 3 32 38 40 47
a 10 18 25 3 31 38 40 47
a 10 18 25 3 31 38 41 47
a 10 18 25 3 31 38 41 48
a 10 18 25 3 31 38 42 48
a 10 18 25 3 31 38 42 49
a 10 18 25 3 31 38 43 49
a 10 18 25 3 31 38 43 50
a 10 18 25 3 31 38 44 50
a 10 18 25 3 31 38 44 51
a 10 18 25 3 31 38 45 51
a 10 18 25 3 31 38 45 52
a 10 18 25 3 31 38 46 52
a 10 18 25 3 31 37 46 52
a 10 18 25 3 30 37 46 52
a 10 18 25 3 30 36 46 52
a 10 18 25 3 30 36 45 52
a 10 18 25 3 30 36 45 51
a 10 18 25 3 30 36 44 51
a 10 18 25 3 30 36 44 50
a 10 18 25 3 30 36 43 50
a 10 18 25 3 30 36 43 49
a 10 18 25 3 30 36 42 49
a 10 18 25 3 30 36 42 48
a 10 18 25 3 30 36 41 48
a 10 18 25 3 30 36 41 47
a 10 18 25 3 30 36 40 47
a 10 18 25 29 3 36 40 47
a 10 18 25 29 3 35 40 47
a 10 18 25 28 3 35 40 47
a 10 18 25 28 3 34 40 47
a 10 18 25 27 3 34 40 47
a 10 19 25 27 3 34 40 47
a 10 19 26 27 3 34 40 47
a 10 19 26 27 34 4 40 47
a 10 20 26 27 34 4 40 47
a 11 20 26 27 34 4 40 47
a 11 20 26 27 34 40 47 5
a 12 20 26 27 34 40 47 5
a 12 19 26 27 34 40 47 5
a 12 19 25 27 34 40 47 5
a 12 19 25 28 34 40 47 5
a 12 19 25 28 35 40 47 5
a 12 19 25 29 35 40 47 5
a 12 19 25 29 36 40 47 5
a 12 19 25 30 36 40 47 5
a 12 19 25 30 36 41 47 5
a 12 19 25 30 36 41 48 5
a 12 19 25 30 36 42 48 5
a 12 19 25 30 36 42 49 5
a 12 19 25 30 36 43 49 5
a 12 19 25 30 36 43 5 50
a 12 19 25 30 36 44 5 50
a 12 19 25 30 36 44 5 51
a 12 19 25 30 36 45 5 51
a 12 19 25 30 36 45 5 52
a 12 19 25 30 36 46 5 52
a 12 19 25 30 37 46 5 52
a 12 19 25 31 37 46 5 52
a 12 19 25 31 38 46 5 52
a 12 19 25 31 38 45 5 52
a 12 19 25 31 38 45 5 51
a 12 19 25 31 38 44 5 51
a 12 19 25 31 38 44 5 50
a 12 19 25 31 38 43 5 50
a 12 19 25 31 38 43 49 5
a 12 19 25 31 38 42 49 5
a 12 19 25 31 38 42 48 5
a 12 19 25 31 38 41 48 5
a 12 19 25 31 38 41 47 5
a 12 19 25 31 38 40 47 5
a 12 19 25 32 38 40 47 5
a 12 19 25 32 39 40 47 5
a 12 19 25 33 39 40 47 5
a 12 18 25 33 39 40 47 5
a 12 18 24 33 39 40 47 5
a 12 17 24 33 39 40 47 5
a 12 17 23 33 39 40 47 5
a 12 17 23 32 39 40 47 5
a 12 17 23 32 38 40 47 5
a 12 17 23 31 38 40 47 5
a 12 17 23 31 38 41 47 5
a 12 17 23 31 38 41 48 5
a 12 17 23 31 38 42 48 5
a 12 17 23 31 38 42 49 5
a 12 17 23 31 38 43 49 5
a 12 17 23 31 38 43 5 50
a 12 17 23 31 38 44 5 50
a 12 17 23 31 38 44 5 51
a 12 17 23 31 38 45 5 51
a 12 17 23 31 38 45 5 52
a 12 17 23 31 38 46 5 52
a 12 17 23 31 37 46 5 52
a 12 17 23 30 37 46 5 52
a 12 17 23 30 36 46 5 52
a 12 17 23 30 36 45 5 52
a 12 17 23 30 36 45 5 51
a 12 17 23 30 36 44 5 51
a 12 17 23 30 36 44 5 50
a 12 17 23 30 36 43 5 50
a 12 17 23 30 36 43 49 5
a 12 17 23 30 36 42 49 5
a 12 17 23 30 36 42 48 5
a 12 17 23 30 36 41 48 5
a 12 17 23 30 36 41 47 5
a 12 17 23 30 36 40 47 5
a 12 17 23 29 36 40 47 5
a 12 17 23 29 35 40 47 5
a 12 17 23 28 35 40 47 5
a 12 17 23 28 34 40 47 5
a 12 17 23 27 34 40 47 5
a 12 16 23 27 34 40 47 5
a 12 16 22 27 34 40 47 5
a 12 15 22 27 34 40 47 5
a 12 15 21 27 34 40 47 5
a 12 14 21 27 34 40 47 5
a 12 14 21 27 34 40 47 6
a 13 14 21 27 34 40 47 6
a 13 14 21 27 34 40 47 7
	Command being timed: "python3 /SOLVER/shortest/run.py submission sas split /BENCHMARKS/benchmark/sp/sp004.col /BENCHMARKS/benchmark/sp/sp004_01.dat"
	User time (seconds): 1.12
	System time (seconds): 0.20
	Percent of CPU this job got: 102%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:01.29
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 44824
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 44783
	Voluntary context switches: 8493
	Involuntary context switches: 125
	Swaps: 0
	File system inputs: 0
	File system outputs: 72
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
